ts_code,name,up_limit_times
002917.SZ,金奥博,9
600076.SH,康欣新材,9
603656.SH,泰禾智能,9
603717.SH,天域生物,9
000753.SZ,漳州发展,9
300377.SZ,赢时胜,9
300256.SZ,星星科技,9
600826.SH,兰生股份,9
603316.SH,诚邦股份,9
002848.SZ,高斯贝尔,9
002467.SZ,二六三,9
002577.SZ,雷柏科技,9
001330.SZ,博纳影业,9
603839.SH,安正时尚,9
002857.SZ,三晖电气,9
600609.SH,金杯汽车,9
000750.SZ,国海证券,9
002045.SZ,国光电器,9
001306.SZ,夏厦精密,9
001339.SZ,智微智能,9
002865.SZ,钧达股份,9
603838.SH,四通股份,9
000813.SZ,德展健康,9
601798.SH,蓝科高新,8
002210.SZ,飞马国际,8
603655.SH,朗博科技,8
002290.SZ,禾盛新材,8
300746.SZ,汉嘉设计,8
002307.SZ,北新路桥,8
600221.SH,海航控股,8
605066.SH,天正电气,8
603585.SH,苏利股份,8
600208.SH,衢州发展,8
002302.SZ,西部建设,8
605136.SH,丽人丽妆,8
300822.SZ,贝仕达克,8
002636.SZ,金安国纪,8
002638.SZ,勤上股份,8
605080.SH,浙江自然,8
000099.SZ,中信海直,8
605081.SH,太和水,8
600207.SH,安彩高科,8
601519.SH,大智慧,8
300807.SZ,天迈科技,8
002194.SZ,武汉凡谷,8
601616.SH,广电电气,8
600191.SH,华资实业,8
000510.SZ,新金路,8
603333.SH,尚纬股份,8
605376.SH,博迁新材,8
600128.SH,苏豪弘业,8
605303.SH,园林股份,8
600986.SH,浙文互联,8
002600.SZ,领益智造,8
603660.SH,苏州科达,8
600117.SH,西宁特钢,8
603324.SH,盛剑科技,8
002243.SZ,力合科创,8
002469.SZ,三维化学,8
301326.SZ,捷邦科技,8
603950.SH,长源东谷,8
002581.SZ,未名医药,8
002342.SZ,巨力索具,8
002449.SZ,国星光电,8
002474.SZ,榕基软件,8
603931.SH,格林达,8
603618.SH,杭电股份,8
002480.SZ,新筑股份,8
002510.SZ,天汽模,8
605018.SH,长华集团,8
002552.SZ,宝鼎科技,8
002321.SZ,华英农业,8
603602.SH,纵横通信,8
600185.SH,格力地产,8
603305.SH,旭升集团,8
002495.SZ,佳隆股份,8
603267.SH,鸿远电子,8
603636.SH,南威软件,8
000532.SZ,华金资本,8
002562.SZ,兄弟科技,8
002482.SZ,广田集团,8
603353.SH,和顺石油,8
000020.SZ,深华发A,8
002246.SZ,北化股份,8
002117.SZ,东港股份,8
600249.SH,两面针,8
600503.SH,华丽家族,8
603009.SH,北特科技,8
603823.SH,百合花,8
000761.SZ,本钢板材,8
001258.SZ,立新能源,8
300344.SZ,立方数科,8
603001.SH,奥康国际,8
603155.SH,新亚强,8
300211.SZ,亿通科技,8
600470.SH,六国化工,8
600860.SH,京城股份,8
000886.SZ,海南高速,8
600615.SH,丰华股份,8
000890.SZ,法尔胜,8
002846.SZ,英联股份,8
001229.SZ,魅视科技,8
300380.SZ,安硕信息,8
002982.SZ,湘佳股份,8
002819.SZ,东方中科,8
002802.SZ,洪汇新材,8
003041.SZ,真爱美家,8
002800.SZ,天顺股份,8
603819.SH,神力股份,8
603813.SH,原尚股份,8
600383.SH,金地集团,8
600847.SH,万里股份,8
001314.SZ,亿道信息,8
002970.SZ,锐明技术,8
600556.SH,天下秀,8
002992.SZ,宝明科技,8
300245.SZ,天玑科技,8
603048.SH,浙江黎明,8
002945.SZ,华林证券,8
600838.SH,上海九百,8
001287.SZ,中电港,8
300287.SZ,飞利信,8
000803.SZ,山高环能,8
000799.SZ,酒鬼酒,8
002923.SZ,润都股份,8
002919.SZ,名臣健康,8
001389.SZ,广合科技,8
600592.SH,龙溪股份,8
002910.SZ,庄园牧场,8
603398.SH,沐邦高科,8
603032.SH,德新科技,8
600606.SH,绿地控股,8
002009.SZ,天奇股份,8
001217.SZ,华尔泰,8
600405.SH,动力源,8
603127.SH,昭衍新药,8
